City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,mananjary,-21.2167,48.3333,21.38,80,4,1.96,MG,1689691356
145,suntar,62.1444,117.6319,10.63,80,97,2.14,RU,1689691356
146,prince rupert,54.3161,-130.3201,14.83,94,100,8.23,CA,1689691316
147,champerico,14.3,-91.9167,29.3,71,100,0.49,GT,1689691356
148,plettenberg bay,-34.0527,23.3716,16.3,78,7,2.79,ZA,1689691357
149,port mathurin,-19.6833,63.4167,23.34,84,100,12.37,MU,1689691039
150,miyako,39.6367,141.9525,21.29,98,100,1.14,JP,1689691357
151,sisimiut,66.9395,-53.6735,8.65,92,100,1.33,GL,1689691028
152,rio verde,21.9333,-99.9833,24.46,59,29,1.49,MX,1689691357
153,birao,10.2849,22.7882,34.22,42,11,1.78,CF,1689691357
154,manokwari,-0.8667,134.0833,26.44,80,99,1.18,ID,1689691118
155,lido di ostia,41.7321,12.2765,41.25,53,0,7.72,IT,1689691358
156,weno,7.4515,151.8468,26.97,89,100,2.06,FM,1689691027
157,page,36.9147,-111.4558,30.62,25,0,1.54,US,1689691358
158,bocas del toro,9.3333,-82.25,25.43,79,100,1.6,PA,1689691358
159,avarua,-21.2078,-159.775,20.03,100,75,1.03,CK,1689691041
160,sault ste. marie,46.5168,-84.3333,16.31,90,100,2.57,CA,1689691359
161,ebon,4.582,168.6964,28.52,78,93,6.57,MH,1689691044
162,mumford,5.2618,-0.759,25.8,84,54,6.99,GH,1689691359
163,rikaze,29.25,88.8833,8.94,88,100,1.21,CN,1689691115
164,ducheng,23.2373,111.5317,25.27,97,98,1.73,CN,1689691359
165,luga,58.7372,29.8453,17.86,86,100,1.02,RU,1689691359
166,quellon,-43.1167,-73.6167,0.14,100,0,0.0,CL,1689691032
167,charters towers,-20.1,146.2667,15.92,79,55,4.52,AU,1689691360
168,new norfolk,-42.7826,147.0587,7.06,74,73,3.42,AU,1689691084
169,kenai,60.5544,-151.2583,11.75,98,40,0.0,US,1689691360
170,glienicke,52.6335,13.3256,26.06,40,100,0.45,DE,1689691360
